Sample ID,Average of Ct,Sample,delta ct
592,33.408,Negative,-0.034375
593,33.61345,Negative,-0.239825
594,34.34625,Negative,-0.972625
595,33.5273,Negative,-0.153675
596,33.58375,Negative,-0.210125
597,33.27225,Positive,0.101375
598,33.23455,Positive,0.139075
599,33.54055,Negative,-0.166925
600,33.2649,Positive,0.108725
601,33.72835,Negative,-0.354725
602,33.7275,Negative,-0.353875
603,33.8645,Negative,-0.490875
604,33.8391,Negative,-0.465475
605,33.63195,Negative,-0.258325
606,34.13025,Negative,-0.756625
607,34.2601,Negative,-0.886475
608,33.9409,Negative,-0.567275
609,34.4137,Negative,-1.040075
610,33.7062,Negative,-0.332575
611,35.55995,Negative,-2.186325
612,33.20875,Positive,0.0463
613,33.63445,Negative,-0.3794
614,33.3468,Negative,-0.09175
615,34.2427,Negative,-0.98765
616,34.54355,Negative,-1.2885
617,34.81295,Negative,-1.5579
618,40,Negative,-6.74495
619,40,Negative,-6.74495
620,33.80045,Negative,-0.5454
621,40,Negative,-6.74495
622,33.14745,Positive,0.1076
623,33.5136,Negative,-0.25855
624,38.8875,Negative,-5.63245
625,33.39215,Negative,-0.1371
626,33.16935,Positive,0.0857
627,40,Negative,-6.74495
628,40,Negative,-6.74495
629,33.83865,Negative,-0.5836
630,33.1725,Positive,0.08255
631,33.8921,Negative,-0.63705
632,40,Negative,-6.74495
633,40,Negative,-6.74495
634,33.45645,Negative,-0.2014
635,34.12125,Negative,-0.8662
636,33.35755,Negative,-0.1025
637,33.41725,Negative,-0.1622
638,33.21795,Positive,0.0371
639,40,Negative,-6.74495
640,33.0871,Positive,0.16795
641,33.86905,Negative,-0.614
642,33.8506,Negative,-0.59555
643,33.95385,Negative,-0.6988
644,34.0663,Negative,-0.81125
645,33.25395,Positive,0.0011
646,33.91785,Negative,-0.6628
647,40,Negative,-6.74495
648,33.41375,Negative,-0.1587
649,39.4773,Negative,-6.22225
650,33.87185,Negative,-0.6168
651,35.028,Negative,-1.77295
652,36.91925,Negative,-3.6642
653,40,Negative,-7.172225
654,33.45065,Negative,-0.622875
655,32.82095,Positive,0.006825
656,32.97645,Negative,-0.148675
657,34.8224,Negative,-1.994625
658,35.48585,Negative,-2.658075
659,32.52805,Positive,0.299725
660,32.871,Negative,-0.043225
661,32.3286,Positive,0.499175
662,40,Negative,-7.172225
663,40,Negative,-7.172225
664,33.6941,Negative,-0.866325
665,33.691,Negative,-0.863225
666,32.87435,Negative,-0.046575
667,33.0433,Negative,-0.215525
668,32.7921,Positive,0.035675
669,32.5027,Positive,0.325075
670,33.2881,Negative,-0.460325
671,33.17825,Negative,-0.350475
672,32.1577,Positive,0.670075
673,32.6472,Positive,0.180575
674,33.13795,Negative,-0.310175
675,33.36115,Negative,-0.533375
676,32.24715,Positive,0.580625
677,32.921,Negative,-0.093225
678,32.451,Positive,0.376775
679,33.0322,Negative,-0.204425
680,33.0151,Negative,-0.187325
681,32.7199,Positive,0.107875
682,32.72405,Positive,0.103725
683,33.39635,Negative,-0.568575
684,32.58795,Positive,0.239825
685,32.67655,Positive,0.151225
686,33.35735,Negative,-0.529575
687,32.33085,Positive,0.496925
688,32.6838,Positive,0.143975
689,33.1411,Negative,-0.313325
690,32.38175,Positive,0.446025
